 ,VENDOR EKSISTING,NAMA BARANG,CATEGORY,PRODUK,MERK,UKURAN,SATUAN ISI,KEBUTUHAN PER PEKAN,HARGA EKSISTING,NAMA VENDOR BARU,NEXT VENDOR,HARGA EXISTING,HARGA 20/8/2026,,,Pekan I Mei,,
,Diisi oleh OUTLET,Diisi oleh OUTLET,Diisi oleh OUTLET,,Diisi oleh OUTLET,,,Diisi oleh OUTLET,,Diisi oleh tim Pengadaan PUSAT,,,,QTY,TOTAL BIAYA,ER Edelweiss,ER Summarecon,ER Cianjur
1,,Ajinomoto,,,,250 gr,,,,,,12.500,12.500,,,,,
2,Sukanda Jaya,Alumunium Foil 30 cm,Kemasan,ER Coffeelab,,,,,Rp55.000,,,15.525,15.525,,0,,,
3,,Alumunium Foil besar,,,,,,,,samudra shopee,,66.000,31.600,1,31.600,,,
4,Amidis Maliq,Amidis Isi ulang,Kering,ER Coffeelab,Amidis,Galon,kali,10 Galon ,Rp105.000,,,,,,0,,,
5,,Anchor Mozarella,Basah,ER Coffeelab,Anchor,500 gr,500 gr,1 botol,Rp15.000,,,32.500,32.500,,0,,,
6,,Ayam Fillet Dada,Basah,ER Coffeelab,pusat,kg,kg,,Rp240.000,,,45.000,55.000,,0,,,
7,,Bakers Mix - Milk Powder,,,,,,,,ny liem,,47.500,45.000,,0,,3,
8,,Baking Paper,Kering,ER Coffeelab,,,,,,Asta,,34.700,34.700,,,,,
9,,Baking Powder Cap koepoe2 ,Kering,ER Coffeelab,,45g,pcs,,,,,8.500,8.500,,,,,
10,,Baso SP,Frozen,ER Coffeelab,SP,pack,pack,pack,Rp12.000,tunas rahayu,,12.000,12.000,,0,,,
11,,Baygon,Perlengkapan,ER Coffeelab,,,,,,,,42.500,42.500,,,,,
12,,Beras,Kering,Sanusa Kitchen,,,karung,,Rp115.000,,,15.400,387.500,,0,,,
13,,Botol Kemasan 1L,Kemasan,ER Coffeelab,,,,,,,,3.300,3.300,,,,,
14,,Box Bento Hitam,Kemasan,Sanusa Kitchen,20 x 20 cm,1 pcs,1 pcs,,,Akapack,,1.360,1.360,,,,,
15,,Box Nasi Polos - Warna Putih,,,20 x 20 cm,,,,,MAJU JAYA,,1.700,1.700,,,,,
16,,Box take Away - Ivory,,,,,PCS,,Rp24.000,MAJU JAYA,,55.000,1.100,,0,,,
17,,Box Take Away - sekat 3,Kemasan,Sanusa Kitchen,,,,,Rp120.000,TOKO SINGA,,2.600,30.000,,0,,,
18,,Bread Crumb Oishi 500gr,Kering,,,,,,Rp20.000,,,7.400,7.400,,0,,,
19,,Brown Sugar Stick,Kering,ER Coffeelab,Superindo365,pack,pack,5 pack,Rp19.000,Superindo,,16.900,16.900,,0,,,
20,,Bumbu Gulai Daging Indofood,Kering,ER Coffeelab,Indofood,dus,dus,,,,,165.000,165.000,,,,,
21,,Bumbu Rendang Indofood,Kering,ER Coffeelab,Indofood,dus,dus,,,,,125.000,125.000,,,,,
22,,Bumbu Soto Indofood,Kering,ER Coffeelab,Indofood,dus,dus,,,,,125.000,125.000,,,,,
23,,Butter Master Martini Gioia,Kering,ER Coffeelab,Gioia,500,gr,,,,,42.667,42.667,,,,,
24,,Butter Mix Margarine Anchor,Basah,ER Coffeelab,,,, ,,Ny Liem,,75.000,73.000,,,,,
25,,Cengkeh,Kering,ER Coffeelab,No Merk(pasar),kg,pack,,,,,186.000,186.000,,,,,
26,,Cheeseng Pure Sesame Oil 750 ml,Kemasan,ER Coffeelab,Cheeseng,botol 750ml,botol,,Rp118.000,Lotte Mart,,195.000,195.000,6,1.170.000,,,
27,,Chia Seed 1kg,Kering,ER Coffeelab,,1 kg,,,Rp125.000,,,125.000,125.000,,,,,
28,,Chili flakes (cabe untuk chili oil),Kering,ER Coffeelab,Bubuk,Kg,1 Kg,,,,,80.000,56.000,,,,,
29,,Chocolate Chunk,Kering,ER Coffeelab,,,,,Rp84.000,,,84.000,84.000,,,,,
