 ,ITEM,KATEGORI BAHAN,,UNIT SO (),UNIT GUDANG,BERDASARKAN SATUAN SO [12/08/2026],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL,DIVISI,KETERANGAN,MINIMUM STOCK,ISTILAH DATA RESEP,,
,,,,,,13,13,14,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,1,,,2,,3,,4,,5,,6,,7,,8,,9,,10,,,,,,,,
,,,,,,SO,in,out,in,out,in,out,in,out,in,out,in,out,,out,in,out,in,out,in ,out,in,out,in,out,in,out,SO ,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,,,,,,,
1,MSG Ajinomoto 1 kg ,KERING,,gr,kg,9000,,,,,,,,,,,,,,,,,,,,1,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,9000,KITCHEN,1 pack = 1000 gram,1000,,,Tolong cek apakah ada bahan baku yang ada di sini tapi tidak ada di sheet Crosscek Redundant
2,MSG Ajinomoto 250 gr ,,,gr,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,500,,,,,,Sedikit perlu pemahaman istilah bahan baku
3,Aluminium Foil 30x5cm ,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,Kalau ada yang ada tapi istilah beda tolong tandai di sini warna ungu
4,Alumunium Foil Besar 140 gr,,,,roll,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,48,,,,,,Tuliskan nama istilah lain di kolom Istilah lain
5,Parmesan Anchor 1 kg,,,gr,kg,1000,,,,,4000,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,5000,KITCHEN,,,,,
6,Arabica Bean,KERING,,gr,kg,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,8,,,,,,,,,,,,,,,0,BAR,1 pack = 1000 gr,2000,Ground Coffee Arabica,,Bila case terjadi keduanya maka tandai pakai warna Oren
7,Ayam Fillet Dada,BASAH,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,2,,,,,,,,,,,,,,,0,,,,,,
8,Baking paper,,,pcs,roll,200,,,,,,,,,,,,4,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,200,,,,,,
